SrNo,ItemCode,ItemName,Pack,Manufacturer,HSN,GST%,MRP,PurchaseRate,SellingRate,ScheduleClass,BatchNo,ExpDate,Qty,Loc,Notes
549,VPH-00483,Pantoprazole 40mg,Tab,Alkem,30049099,12,1760.20,1135.38,1664.25,,B8439D,15-Oct-2027,321,R5-S10,
550,VPH-00484,Amlodipine 5mg,Tab,PFIZER,30049099,12,706.90,524.51,694.96,,B1320F,14/01/27,357,R1-S10,
551,VPH-00485,Amlodipine 5mg,Tab,Torrent Pharma,30049099,12,₹1340.55,₹890.98,1265.15,,B4236H,06/10/2026,560,R7-S5,
552,VPH-00486,Glucose D 100g,Sachet,Mankind Pharma,21069099,18,₹1201.49,751.20,1125.85,,B4805E,22.02.2028,41,R4-S9,
553,VPH-00487,Paracetamol 500mg,Tab,ZYDUS,30049099,12,Rs.453.04,₹276.14,₹420.41,,B8272E,25-Feb-2028,305,R6-S5,
554,VPH-00488,Pantoprazole 40mg,Tab,Abbott India,  30049099,12,353.30,226.61,339.41,,B8585G,24-Dec-2027,476,R6-S3,
555,VPH-00489,Paracetamol 500mg,Tab,Mankind Pharma,30049099,12,384.38,₹240.53,358.38,,B9293F,16.04.2028,124,R7-S1,
556,VPH-00490,Paracetamol 500mg,Tab,PFIZER,30049099,12,1011.29,728.88,943.89,,B7990G,14.03.2027,316,R1-S7,
557,VPH-00491,Loratadine 10mg,Tab,GLENMARK,30049099,12,Rs.1508.67,₹916.46,1395.03,,B2762B,18/06/26,348,R1-S6,
558,VPH-00492,Vitamin D3 60K,Sachet,Sun Pharma,30049099,12,1021.56,688.93,₹972.59,,B7630G,11-Jan-2027,304,R5-S1,
559,VPH-00493,Folic Acid 5mg,Tab,Glenmark,30049099  ,12,294.60,175.16,287.13,,B1255H,19.02.2028,550,R5-S2,
560,VPH-00494,Calcium Carbonate 500mg,Tab,Abbott India,  30049099,12,1455.46,1126.96,1356.85,,B9205D,20/06/27,448,R4-S5,
561,VPH-00495,Vitamin D3 60K,Sachet,Zydus,30049099,12,1036.12,732.80,1008.22,,B1530E,23/09/27,361,R6-S8,
562,VPH-00496,Omeprazole 20mg,Cap,gsk,30049099,12,₹437.39,310.65,₹404.77,,B6811A,05/04/2028,431,R7-S11,
563,VPH-00497,Amlodipine 5mg,Tab,ABBOTT,30049099  ,12,491.87,381.38,482.16,,B6108H,27-Dec-2026,131,R4-S10,
564,VPH-00498,Omeprazole 20mg,Cap,MANKIND,30049099,12,658.85,395.64,623.86,,B7956A,08-Mar-2028,564,R5-S3,
565,VPH-00499,Ibuprofen 400mg,Tab,ALKEM,30049099,12,1822.70,1166.49,1687.25,,B2913E,01/11/27,109,R5-S6,
566,VPH-00500,Metformin 500mg,Tab,Sun Pharmaceutical,  30049099,12,232.91,152.87,₹224.43,,B8538H,06.12.2027,134,R7-S1,
